카드_고유키,상품명,카드설명
카드_1,휴먼라이프 S1 수협카드,바다위새로운세상휴먼라이프크루즈여행을위한맞춤혜택
카드_2,S1카드,7개업종중선택한1개업종가맹점에서카드사용시7%청구할인
카드_3,biz top기업 신용카드,법인/개인사업자에최적화된혜택을드리는카드
카드_4,국고보조금전용카드(e나라도움카드) (개인),국고보조금집행시사용되는카드
카드_5,국고보조금전용카드(e나라도움카드) (기업),국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자에게발급해드리는카드
카드_6,국민행복카드 (신용),국가바우처통합카드
카드_7,비자플래티늄카드 (개인),특별한1%의당신을위해남다른품격과가치의시작
카드_8,비자플래티늄카드 (기업),특별한1%의당신을위해남다른품격과가치의시작
카드_9,비즈플러스,성공비즈니스를위한든든한파트너
카드_10,독도사랑카드 (개인),ILoveDokdo
카드_11,독도사랑카드 (기업),대한민국우리의땅독도를지킵시다
카드_12,Feel카드(기업),"신용카드고유기능을이용하는법인신용카드로포인트약정기업회원연안여객포인트적립,바다마트청구할인"
카드_13,Feel카드(개인),"행복한생활,쇼핑의즐거움"
카드_14,Sh그린 신용카드 (기업),"생활도Green,카드도Green일상속에서손쉽게녹색생활을실천하고그린카드로우리가족생활비절약은물론다양한혜택까지~"
카드_15,정부구매카드,투명하고효율적인정부예산집행정부관서모든예산과목의운영경비를정부구매카드로지출하세요.
카드_16,블루스카이카드 (기업),회원의카드이용금액에따라제휴업체인대한항공의스카이패스마일리지를적립해주는상품
카드_17,Real Zero 부경대 학생증 파트너 체크,수협은행제휴학교전용체크카드
카드_18,국고보조금전용 체크카드(e나라도움 체크카드) (기업),국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자및대상자에게발급해드리는체크카드
카드_19,국고보조금전용 체크카드(e나라도움 체크카드) (개인),국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자및대상자에게발급해드리는체크카드
카드_20,국민행복카드 (체크),국가바우처통합카드
카드_21,Sh그린 체크카드 (기업),"생활도Green,카드도Green일상속에서손쉽게녹색생활을실천하고그린카드로우리가족생활비절약은물론다양한혜택까지~"
카드_22,제주도 보조금카드,제주도청에서민간(개인및단체)에지원되는보조금예산에대한집행을수협은행에서발행된보조금전용카드를통하여집행하도록발행된카드
카드_23,코웨이 우리카드 Ⅱ,코웨이 렌탈요금 청구할인!
카드_24,SK매직 우리카드 Ⅱ,SK매직 렌탈요금 청구할인!
카드_25,LG전자 우리카드,LG전자 구독요금 청구할인과 장기할부 서비스!
카드_26,바디프랜드 우리카드 Ⅱ,바디프랜드 렌탈요금 청구할인과 장기할부 서비스!
카드_27,넥센타이어 우리카드 Ⅱ,넥센타이어 렌탈요금 청구할인!
카드_28,쿠쿠 우리카드,쿠쿠 렌탈요금 청구할인과 장기할부 서비스!
카드_29,NU 갤러리아 우리카드,NU 갤러리아 우리카드
카드_30,코오롱몰 우리카드,코오롱몰 상품 구매시 5% 청구할인 혜택 + 12/24/36개월 장기할부 청구할인 혜택까지!
카드_31,NU Uniq Point,나를 위한 UNIQ한 선택
카드_32,오케이몰 우리카드,"오케이몰 상품을 24/36개월 장기할부로 구매하고, 월 최대 2만원 청구할인 혜택까지!"
카드_33,국민행복카드S2,"국가바우처, 임신/출산, 보육/교육, 쇼핑, 해외, 언택트라이프 혜택까지 모두 담다!!"
카드_34,국민행복 체크카드S2,"국가바우처, 임신/출산, 보육/교육, 쇼핑, 해외, 언택트라이프 혜택까지 모두 담다!!"
카드_35,AK 우리카드,AK 우리카드에 AK 쇼핑의 혜택을 전부 담다
카드_36,카드의정석 넥센타이어렌탈 우리카드,카드의정석 넥센타이어 렌탈 우리카드
카드_37,카드의정석 NEW우리V카드,"모든 백화점, 대형마트, 주유소에서&lt /5% 청구할인"
카드_38,우리 전통시장 W카드,"전통시장에서 장볼때 최대 5%까지,&lt/대중교통비 5% 할인되는 알뜰한 카드!"
카드_39,세라젬 우리카드 Ⅱ,세라젬 제품 구매하고&ltBR기분좋은 청구할인 혜택까지!
카드_40,프뢰벨 우리카드,프뢰벨 제품 장기할부 구매 시 &lt 월 최대 2만원 청구할인 혜택!
카드_41,더배스트 우리카드,더배스트 렌탈 및 할부구매하고&lt 최대 2만원 할인받자!
카드_42,렌탈페이 우리카드,당신의 똑똑한 렌탈 라이프
카드_43,NEW BS렌탈 우리카드,BS 렌탈요금 할인서비스에 다양한 생활 혜택까지 누리자!
카드_44,NEW 코웨이 우리카드,코웨이 렌탈요금 자동이체하고&lt최대 2만원 할인받자!
카드_45,청호나이스우리카드,청호나이스 렌탈요금 자동이체하고 최대 2만원 할인받자!
카드_46,청호나이스 Slim할부 우리카드,"슬림할부로 청호나이스제품 부담없이 구매하고, 다양한 생활 혜택까지 누리자!"
카드_47,바디프랜드 Slim(슬림)할부 우리카드,"슬림할부로 바디프랜드 제품 부담없이 구매하고, 다양한 생활 혜택까지 누리자!"
카드_48,쿠쿠 Slim(슬림)할부 우리카드,"슬림할부로 쿠쿠제품 부담없이 구매하고, 다양한 생활 혜택까지 누리자!"
카드_49,현대렌탈케어 우리카드,"현대렌탈케어 렌탈요금 할인에, 다양한 생활 혜택까지 누리자!"
카드_50,코웨이 Slim할부 우리카드,슬림할부로 코웨이제품 부담없이 구매하고 다양한 생활할인 혜택까지 누리자!
카드_51,대림케어 라서즐거운카드,대림케어 렌탈요금 할인에 다양한 생활 혜택까지!
카드_52,교원 웰스 우리카드,실속만점 생활할인은 기본!&ltBR렌탈요금/상조회비까지 할인받자 !
카드_53,바디프랜드 우리카드,실속있게 생활할인은 기본&lt /&ltem바디프랜드 렌탈요금 할인까지!&lt/em
카드_54,쿠쿠 렌탈프리멤버십&lt우리카드,실속만점 생활할인은 기본!&lt이제 렌탈요금 까지 할인 받자!
카드_55,POP New 우리V카드,"GS25할인 5%, T머니 10% 할인 서비스"
카드_56,다둥이행복카드,2자녀 이상을 둔 가정에게 드리는&lt최대 특혜를 누리세요~!
카드_57,GS칼텍스 화물복지카드,유가보조금 받고!&lt GS칼텍스 주유 할인까지!
카드_58,카드의정석 화물복지카드,유가보조금 + 정유3사 주유할인을&lt 카드의정석 화물복지카드 한장으로!!
카드_59,S-OIL화물복지50,전월실적 조건 없이 S-OIL 화물차우대주유소에서 주유 시 리터당 최대 50원 현장할인 제공
카드_60,SK 화물복지 50,전월실적 조건 없이 SK 내트럭플러스에서 주유 시 리터당 최대 50원 할인
카드_61,에쓰-오일 400 우리카드,S-OIL 주유소 리터당 120~400원 할인 서비스에 다양한 생활 &lt/ 혜택까지 누리자!
카드_62,LPG 화물복지카드 E1,"LPG 화물차 유가보조금 지원, E1 충전소 결제금액 1천원당 오렌지포인트 최대 30P 적립, 다양한 생활서비스 제공"
카드_63,SK Oil 400 우리카드,SK주유소 리터당 120~400원 할인에&lt / 다양한 생활 혜택까지 누리자!
카드_64,마이카 우리카드,Auto 금융 할인 및 자동차 특화서비스에 다양한 생활 할인 혜택까지
카드_65,우리V카드 Oil 100 [발급중단],자동차 연비를 높이는 새로운 답을 제시하다!
카드_66,에코마일리지 New우리V카드,"에코라서 가능한 혜택, 에코로 쌓는 더 많은 포인트"
카드_67,큰수레비지니스내트럭건설기계카드,건설기계 사업자의 성공 인프라!!
카드_68,휘닉스 우리V카드,할인혜택으로 레저의 즐거움이&lt/더욱 커진다!
카드_69,LG U+ NU 우리카드 Ⅱ,LG U+ 통신요금 할인!
카드_70,너겟 우리카드,너겟 통신요금 할인!
카드_71,T라이트 NU 우리카드 Ⅱ,SKT 통신요금 할인!
카드_72,KT NU Plus 우리카드,KT 통신요금 할인!
카드_73,KT DC Plus 우리카드,KT 통신요금 할인!
카드_74,LG U+ 우리카드 Ⅱ,LG U+ 통신요금 할인!
카드_75,U+알뜰폰 우리카드,U+알뜰폰 통신요금 할인 혜택!
카드_76,KT 마이알뜰폰 우리카드,KT 알뜰폰 통신요금 할인!
카드_77,SK 세븐모바일 라서 즐거운카드,통신요금 할인에 다양한 할인 혜택까지!
카드_78,썸(SUM)화물복지카드&lt(개인체크),"유가보조금 + 정유3사 주유할인, &lt우리 썸화물복지카드 단 한장으로!"
카드_79,국방신협 우리카드,"국방 가족을 위한 특별한 혜택을 담은 카드!&lt /군복지시설, 생활밀착형 할인 등 다양한 할인을 누리세요!"
카드_80,우리군인연금증카드,"군인연금수급자임을 증명하는 신분증 기능에 전국 군복지시설 및 5대 대표업종 청구할인, 버스요금 지원서비스"
카드_81,우리 국민연금증카드,국민연금수급자임을 증명하는 신분증 기능에 버스요금 매달 최대 5천원 지원과 다양한 카드 혜택 제공
카드_82,그린카드 (서울형),환경부 에코 프로젝트~ 그린을 꺼내세요!!
카드_83,그린카드 (전국형),환경부 에코 프로젝트~ 그린을 꺼내세요!!
카드_84,알뜰교통카드(신용),전국 어디서나 대중교통 10% 할인
카드_85,[골프] The Family 동부카드,패밀리니까! 더 받는다! 생활에 필요한 다양한 실속 할인혜택
카드_86,[문화] The Family 동부카드,패밀리니까! 더 받는다! 생활에 필요한 다양한 실속 할인혜택
카드_87,국기원 단증카드,국기원 단증에 카드를 결합한 태권도인 특화 상품
카드_88,우리성당카드 다모아포인트,세례명카드 만들고 자동기부도 하고 다양한 혜택도 누리면서 적립된 포인트는 교구에 기부됩니다.
카드_89,한국장학재단(KOSAF) 주거래 다모아 포인트 카드,"적립된 상환용 적립 포인트를 자녀의 학자금 대출 원리금 상환에 활용하며, 기타 다양한 혜택을 누리세요~"
카드_90,한국사회복지공제회 우리 주거래카드(다모아포인트),"우리은행 주거래고객님을 위한 특별한 혜택! &lt /국내 모든 가맹점에서 0.5~1.5% 적립,&lt/6개월마다 15,000점 보너스 적립!"
카드_91,경기도사회복지공제회 우리 주거래카드(다모아포인트),"우리은행 주거래고객님을 위한 특별한 혜택! &lt /국내 모든 가맹점에서 0.5~1.5% 적립,&lt/6개월마다 15,000점 보너스 적립!"
카드_92,한화생명 Family 카드 (문화형),카드 한 장으로 신용카드 혜택과 &lt/한화그룹 계열사 서비스를 한번에 해결하자!
카드_93,한화생명 Family카드 (골프형),카드 한 장으로 신용카드 혜택과 &lt/한화그룹 계열사 서비스를 한번에 해결하자!
카드_94,kt family 카드,회사에 반했다! kt 그룹이 좋아졌다!
카드_95,SDU-V Family 카드,"모든 백화점, 대형마트, 병원, 서점에서 우리V카드만 있으면 365일 할인!"
카드_96,연세동문V카드(LIFE CARE),"woori 할인서비스, 패밀리레스토랑 할인"
카드_97,연세동문V카드(ASIANA),"항공 마일리지 적립서비스, 주유, 놀이공원 할인"
카드_98,플랫폼공제회 우리체크,한국플랫폼 프리랜서 노동공제회 제휴 체크카드
카드_99,카드의정석 L.POINT CHECK,우리카드와 L.POINT가 만나다!
카드_100,그랑블루 체크카드,프리미엄의 혜택을 체크카드에 그대로!
카드_101,U&ampI 우리카드(체크),한국장애인고용공단 제휴카드
카드_102,카드의정석 COOKIE CHECK,쿠키처럼 달콤한 혜택이 쏟아진다!
카드_103,카드의정석 COOKIE CHECK,쿠키처럼 달콤한 혜택이 쏟아진다!
카드_104,해피포인트 우리체크 V.2,사용할 때 마다 커지는 적립혜택!
카드_105,카드의정석 HEROES CHECK,우리카드×광복회
카드_106,카드의정석 UniMile CHECK,"UniMile 하나로 6대 항공사 모두 OK!, 카드의 정석 UniMile CHECK"
카드_107,우리 한국장학재단(KOSAF) 체크카드,적립 포인트로 학자금 대출 원리금 상환에 활용도하고 다양한 혜택을 누리세요~
카드_108,에코마일리지 우리체크카드,에너지도 Eco하고 카드사용도 Eco하는 에코마일리지우리체크카드!!
카드_109,알뜰교통카드(COOKIE CHECK),"출근은 편하게, 교통비는 가볍게! &lt 마일리지로 더 알뜰하게~"
카드_110,카드의정석 APT CHECK,아파트 관리비 혜택을 담다!
카드_111,카드의 정석 K-CHECK,외국인 고객을 위한 맞춤형 혜택!
카드_112,CJ ONE 우리카드 체크,"CJ ONE 멤버십 혜택은 기본, 프리미엄의 혜택을 체크카드에 그대로!"
카드_113,우리 SCHOOL CHECK,학생증 한장으로 다양한 캐시백과 멀티 멤버십 혜택까지!
카드_114,NEW_UNI체크,편의점 커피 학원 할인과 함께 신나는 대학생활!
카드_115,New 현대백화점 체크카드,현대백화점ㆍ현대아울렛ㆍ진에어 할인부터 각종 생활할인 혜택까지!
카드_116,국기원 단증 체크카드,해외 이용 수수료 면제 및 이용금액 1~2% 캐시백
카드_117,우리성당 체크카드,"[가득한 체크] 협약된 교구, 성당, 세례명 등이 인자된 나만의 성당체크카드를 발급받아 가득한 혜택을 누리세요"
카드_118,우리군인연금증체크카드,군인연금수급자임을 증명하는 신분증 기능에 버스요금 지원서비스 및 다양한 생활밀착형 서비스 제공
카드_119,한화생명 Family 체크카드,카드 한 장으로 체크카드 혜택과 &lt/한화그룹 계열사 서비스를 한번에 해결하자!
카드_120,우리 국민연금증체크카드,국민연금수급자임을 증명하는 신분증 기능에 버스요금 매달 최대 5천원과 다양한 카드 혜택 제공
카드_121,POP Woori V Check Card (외국인 전용),"GS25할인 5%, T머니 10% 할인 서비스"
카드_122,POP 우리V체크카드,"GS25에서 5% 할인 , T머니 10% 할인"
카드_123,POP 우리V스쿨카드,"스타벅스, 커피빈 20%, GS25할인 5%, T-money 충전시 10% 할인"
카드_124,화물차유류구매카드(개인체크),이젠 유가보조금도 우리카드!
카드_125,다둥이행복체크카드,2자녀 이상을 둔 가정에게 드리는&lt최대 특혜를 누리세요~!
카드_126,FC EXPRESS 체크,"국내에서는 원화로, 해외에서는 외화로 바로 출금!"
카드_127,우리ONE 체크카드 국제ATM,해외에서 현금이 필요할때? 난 저렴하게 찾는다! 해외ATM 이용 특화 카드!
카드_128,우리V외국인체크카드,Special Benefits~ Enjoy 우리V외국인체크카드! 외국인을 위한 실용적인 서비스가 가득
카드_129,국제학생증체크카드,해외에서도 국내에서도 국제학생증 체크카드
카드_130,1st플래티늄 플러스카드,
카드_131,K-그린카드v2,
카드_132,DUAL카드,
카드_133,S-OIL 주유카드,
카드_134,메가박스 신용카드,
카드_135,광주전남愛사랑 HONORS V2 CARD,
카드_136,불타는청춘 베테랑 신용카드,
카드_137,SK매직 KJ카드,
카드_138,롯데하이마트 하트♥러브카드,
카드_139,멍이냥이카드,
카드_140,LG전자 베스트케어카드,
카드_141,여행스케치 아시아나클럽 플래티늄카드,
카드_142,광주·전남愛사랑HonorsCard,
카드_143,광주·전남愛사랑플래티늄카드,
카드_144,광주·전남愛사랑카드,
카드_145,1st플래티늄카드,
카드_146,1st카드,
카드_147,아름다운 유·스퀘어 KJ카드,
카드_148,부자되세요 The Oil카드,
카드_149,부자되세요 홈쇼핑카드,
카드_150,국민행복카드,
카드_151,K-Global카드,
카드_152,아이행복카드,
카드_153,동네방네 카드,
카드_154,전남대학교 총동창회 신용카드,
카드_155,여수광양항만관리(주) 복지카드(신용),
카드_156,카카오페이 체크카드,
카드_157,GLOBAL TRAVEL 체크카드,
카드_158,메가박스 체크카드,
카드_159,불타는청춘 베테랑 체크카드,
카드_160,멍이냥이 체크카드,
카드_161,목포사랑체크카드,
카드_162,1st Y - Check 카드,
카드_163,1st A - Check 카드,
카드_164,여행스케치 아시아나클럽 체크카드,
카드_165,광주상생카드체크,
카드_166,청춘대박 체크카드,
카드_167,K-CHECK 카드,
카드_168,K-TEEN 체크카드,
카드_169,전남대학교 총동창회 체크카드,
카드_170,여수광양항만관리(주)복지카드(체크),
카드_171,신한카드 봄,Color your Spring
카드_172,신한카드 봄(도구리),도토리들을 위해 준비했어
카드_173,신한카드 Globus,Global citizen in the universe
카드_174,신한카드 플리,전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_175,신한카드 플리(산리오캐릭터즈),전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_176,신한카드 핏(Fit),반복되는 일상부터 나를 위한 소비까지! 데이터로 찾은 내 소비의 핏
카드_177,신한카드 My TeenS(포차코),만 12세 이상 미성년 가족 신용카드
카드_178,신한카드 EVerywhere,EVerywhere we drive
카드_179,신한카드 Eats More(곰표),이츠 모아 태산! 먹을수록(Eats) 혜택을 더 모아(More)
카드_180,신한카드 Eats More(이츠모아),이츠 모아 태산! 먹을수록(Eats) 혜택을 더 모아(More)
카드_181,신한카드 Unboxing,This card will make you smile
카드_182,신한카드 래플(Raffle),Catch me in the moment!
카드_183,신한카드 구독 좋아요,Smart한 구독 Life!
카드_184,#Pay 신한카드,나의 슬기로운 Pay 생활!
카드_185,신한카드 알뜰More(알뜰모아),"알뜰폰 요금, 더 알뜰히 모으자!"
카드_186,위버스 신한카드(BTS),All Things for Fans
카드_187,신한카드 Deep Oil,속 깊은 주유혜택
카드_188,수소차 충전할인 신한카드,수소차 충전요금 10% 할인
카드_189,티머니 Pay & GO 신한카드,"탈 수록 즐겁고, 탈 수록 득이 되는"
카드_190,아시아나 신한카드 Air 1.5,1.5배 높은 적립! 해외는 더블 적립!
카드_191,신한카드 MY CAR,어떤 차를 구매하든 MY CAR는 신한카드 MY CAR로~
카드_192,신한카드 국민행복,정부에서 지원하는 국가바우처를 한장의 카드로 이용하세요!
카드_193,IKEA for Business with 신한카드,개인사업자를 위한 IKEA 할인 카드!
카드_194,신한카드 YaY,"신나는 나의 Home Life, YaY(예~이!)"
카드_195,신한카드 My TeenS,만 12세 이상 미성년 가족 신용카드
카드_196,신한카드 RPM+ Platinum#,모든 주유소 포인트 적립에 생활 맞춤 혜택까지!
카드_197,신한카드 Air One,1천원당 대한항공 1마일 적립 항공/면세/해외 2배 적립!
카드_198,신한카드 혼디모앙,"제주혜택 한데 모아, 모두 모아"
카드_199,땡겨요 신한카드,너도 살고 나도 사는 우리동네 배달앱 땡겨요
카드_200,신한카드 Deep Dream,속 깊은 디지털 라이프
카드_201,신한카드 Deep Dream Platinum+,속 깊은 혜택을 더한!
카드_202,신한카드 Deep Store,생활쇼핑 가맹점 최대 15% 할인!
카드_203,신한카드 Deep Making,내가 직접 선택하는 나만의 카드
카드_204,신한카드 Deep Taking,자동으로 챙겨주는 나만의 카드
카드_205,신한카드 Deep On Platinum+,간편결제(Pay) 서비스는 Deep On!
카드_206,신한카드 Deep Once,한번으로 누려라!
카드_207,신한카드 Deep Once Plus,한번으로 누려라!
카드_208,신한카드 YOLO ⓘ,할인율을 내 마음대로!
카드_209,신한카드 B.Big(삑),매일매일 가는 길마다 신한카드 교통 Big 할인!
카드_210,신한카드 Mr.Life,Essential For Every Lifestyle
카드_211,신한카드 Hi-Point,잘 가는 곳 1~5% 적립 어디서나 0.2~2% 적립
카드_212,신한카드 Simple+,전월 실적 없이 0.7% 캐시백!
카드_213,신한카드 Shopping,언제 어디서나 특별한 쇼핑의 순간!
카드_214,신한 햇살론카드,생활비 혜택을 가득 담은 서민금융지원카드
카드_215,신한카드 Edu,부모마음을 잘 아는 카드!
카드_216,신한카드 주거래 신용,나의 금융파트너! 신한 주거래 패키지로 더 많은 혜택을!
카드_217,신한카드 Air Platinum#,"항공 마일리지에 포인트, 프리미엄 서비스까지!"
카드_218,신한카드 Lesson Platinum#,맹모카드지교! 우리아이 레슨 받는 곳이라면 어디든지
카드_219,신한카드 Simple Platinum#,전월 실적 없이 1% 캐시백!
카드_220,신한카드 Cube Platinum #,"선택 서비스 10개 중 5개, 5% 할인"
카드_221,신한카드 Love Platinum#,"할인, 적립에 플래티늄 서비스까지!"
카드_222,GS칼텍스 신한카드 Shine,Shine카드의 빛나는 혜택
카드_223,신한카드 후불하이패스+ (하이패스 전용),"부담없는 연회비로, 교체없이 10년동안 쭈욱!"
카드_224,신한카드 후불하이패스+(SIM형),"부담없는 연회비로, 교체없이 10년동안 쭈욱!"
카드_225,(배민커넥트) 신한카드 Deep Oil 카드,속 깊은 주유혜택
카드_226,BC 부자되세요 홈쇼핑 신한카드,한장의 카드로 6대 홈쇼핑 6% 할인!
카드_227,신한카드 아름다운,"주는 행복, 받는 기쁨! 아름다운 당신의 아름다운 카드"
카드_228,신한카드 아이행복,보육료 지원금 결제와 할인서비스 혜택까지!!
카드_229,신한카드 Ownership,550만 오너를 위한 맞춤혜택 제공!
카드_230,E1 개인택시운송사업자 신한카드,최대 2% LPG 충전 혜택과 생활 할인을 동시에!
카드_231,신한카드 경차사랑 Life,속 깊은 당신을 위한 경차사랑 Life
카드_232,신한카드 Hi-Point MyShop,"세무지원, 사업경비 포인트 적립 혜택까지!!"
카드_233,신한카드 EV,전기차 LIFE를 누려보세요. 전기차 충전요금 30~50% 할인!
카드_234,신한카드 Hi-Point MyShop PLATINUM#,"세무지원, 사업경비 포인트 적립 혜택까지!!"
카드_235,청년동행 신한카드 B.Big(삑),매일매일 가는 길마다 신한카드 교통 Big 할인!
카드_236,큰수레 비즈니스 신한카드 Simple+,사업자를 위한 부가세 서비스!
카드_237,신한카드 집,주택임대료 할인과 생활 할인 중 선택하여 발급받으세요!
카드_238,국세청 복지 GS칼텍스 신한카드 Shine,국세청 임직원 복지 증진을 위한 복지카드
카드_239,국세청 복지 신한카드 Lady,국세청 임직원 복지 증진을 위한 복지카드
카드_240,공무원연금복지 GS칼텍스 신한카드 Shine,복지포인트도 생활비 할인도 하나의 카드로!
카드_241,공무원연금복지 SK에너지 신한카드 Oiling,복지포인트도 적립혜택도 하나의 카드로!
카드_242,장애인 통합복지 신한카드 2030,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_243,장애인 통합복지 신한카드 Lady,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_244,신한카드 Shopping(한국유치원총연합회 교원증),Shopping에 교원증을 더하다
카드_245,대한간호협회 신한카드 RN,Registered Nurse CARD
카드_246,대한치과위생사협회 신한카드 Lady,"앞서가는 여성의 필수품, Lady카드!"
카드_247,대한치과위생사협회 GS칼텍스 신한카드 BigPlus,더 이상의 카드는 없다. 신개념의 주유 서비스를 경험해 보세요!
카드_248,알뜰교통 신한카드,가볍고 편해지는 발걸음! 대중교통 요금 10%할인
카드_249,SK55 화물복지 신한카드,현장에서 바로 받는 주유 할인 혜택!
카드_250,화물운전자복지 신한카드,화물운전자복지 카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_251,SK에너지 2MORE 화물복지 신한카드,SK에너지 2MORE 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_252,알뜰주유소 화물운전자복지 신한카드,알뜰주유소 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_253,HD현대오일뱅크 2UP 화물운전자복지 신한카드,HD현대오일뱅크 2UP 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_254,S-OIL 2UP 화물운전자복지 신한카드,S-OIL 2UP 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_255,노란우산 신한카드,"사업경비 결제하고 포인트도 쌓고! 주유, 병원/약국, 대중교통 할인까지!"
카드_256,개인택시운송자사업자 신한카드 T-플러스,편리한 유가보조금 지원과 강화된 포인트 적립 혜택까지!
카드_257,S.Sing 씽화물복지 신한카드,S.Sing 씽 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_258,외식가족공제 신한카드 Hi-point MyShop,내 사업의 비용절감을 위한 완벽한 카드!
카드_259,교직원복지 신한카드 LOVE,교직원공제회원의 알뜰소비생활 필수카드!
카드_260,한국수력원자력 임직원복지 신한카드 LOVE,"한수원 복지포인트 이용에 할인, 포인트 적립까지!"
카드_261,SK One+ 화물복지 신한카드,화물 유가보조금+주유할인 서비스까지!
카드_262,부산가족사랑 GS칼텍스 신한카드 Shine,부산시의 다자녀가정 지원 가족사랑 카드
카드_263,119 소방사랑 GS칼텍스 신한카드 Big Plus,
카드_264,신한카드 Applus,iPhone for Life
카드_265,카카오뱅크 신한카드 Time,Time For us to Shine
카드_266,SPOTV NOW 신한카드 구독 좋아요,SPOTV NOW를 즐기는 방법!
카드_267,CJ ONE 프리즘 신한카드,CJ ONE 포인트 매니아를 위한 특권!
카드_268,신한투자증권 알파 플러스 신한카드,알파포인트로 누리는 새로운 투자경험!
카드_269,KT 가족만족 할부 신한카드,KT 휴대폰 할부에 통신요금 할인까지!
카드_270,신세계사이먼 프리미엄 아울렛 신한카드 병약이핑도리,신세계사이먼 프리미엄 아울렛 최대 10% 결제일 할인
카드_271,신세계사이먼 프리미엄 아울렛 신한카드 유미어스,신세계사이먼 프리미엄 아울렛 최대 10% 결제일 할인
카드_272,신한카드 KaPick,Kakaopay Pick
카드_273,건담 신한카드,건프라와 피규어를 마음껏!
카드_274,신한라이프 THE PRIDE 신한카드,"보험료 할인과 함께 의료, 헬스, 생활편의 할인 서비스를 한번에"
카드_275,LG트윈스 신한카드,LG트윈스 홈경기 응원하러 야구장 갈땐~ 필수템!
카드_276,T 멤버십 라이프 신한카드,T 멤버십 고객의 필수템!
카드_277,베베쿡 신한카드,아이와 엄마를 위한 현명한 선택
카드_278,프레딧 멤버십 신한카드,프레딧 멤버십을 위한 완벽한 혜택!
