카드_고유키,상품명,카드설명
카드_279,투썸플레이스 신한카드,"30% 할인, 사이즈업 쿠폰에 대중교통 생활혜택까지!"
카드_280,제주신화월드 신한카드,제주신화월드 객실 최대 15% 할인
카드_281,GS Prime 신한카드,쓸 때마다 쌓이는 GS&POINT!
카드_282,T우주 신한카드,"모두의 구독 유니버스, T우주"
카드_283,IKEA Family with 신한카드,스마트하게 IKEA를 즐기는 방법!
카드_284,오아시스 신한카드,오아시스 새벽배송 15% 할인!
카드_285,아모레퍼시픽 신한카드,뷰티포인트 적립 혜택을 누리세요
카드_286,요기요 신한카드,맛있는 생활의 필수 혜택 카드
카드_287,L.PAY 신한카드,간편 결제의 새로운 기준 L.PAY!
카드_288,LG헬로비전 신한카드,"LG헬로비전 요금 (케이블방송, 인터넷, 알뜰폰-헬로모바일 등) 할인"
카드_289,네이버페이 라인프렌즈 신한카드,실적조건과 적립한도에 제한이 없는 네이버페이 포인트 특화카드
카드_290,iMND Light 신한카드,맞춤형 복지포인트 사용 및 iMND Light의 산뜻한 혜택을 누리세요
카드_291,Z:IN 인테리어 신한카드,최대 60개월 장기 할부와 매월 최대 1만 5천원 캐시백 혜택까지
카드_292,SK렌터카 신한카드 MY CAR,"새로운 모빌리티, 더 커진 금융 혜택!"
카드_293,마이 홈플러스 신한카드,홈플러스 포인트 1.2%적립(점외 이용시 0.5%적립)
카드_294,11번가 신한카드,쉽고 편한 모바일 쇼핑 세상 편한 11PAY 결제!
카드_295,신세계 신한카드,"신세계백화점 멤버십 혜택, 신세계백화점 5% 할인!"
카드_296,신세계 신한카드 SKYPASS / Asiana Club,신세계백화점 멤버십 혜택 항공마일리지 기본/추가 적립
카드_297,신세계 The BLOSSOM 신한카드,신세계백화점 최대 7% 결제일 할인
카드_298,신세계사이먼 프리미엄 아울렛 신한카드,신세계사이먼 프리미엄 아울렛 최대 10% 결제일 할인
카드_299,(대전신세계 엑스포점)신세계 신한카드,"신세계백화점 멤버십 혜택, 신세계백화점 5% 할인"
카드_300,더본 신한카드,스마트 가격! 맛있는 더본 브랜드는 신한카드와 함께!
카드_301,모바일 Tmoney 신한카드,모바일 Tmoney App 이용 시 20%할인
카드_302,KBO제휴 신한카드 MY KBO,전가맹점 최대 0.6% 적립 및 전구단 야구할인
카드_303,olleh 슈퍼 DC(Super DC) 신한카드 빅플러스,월 최대 1만 5천원 통신요금 할인 및 다양한 제휴 혜택!
카드_304,SOCAR 제휴 SOCAR 신한카드,SOCAR 결제 시 30% 할인
카드_305,리디 신한카드,전자책 서점 리디북스 20% 할인!
카드_306,New LG전자 베스트샵 PLUS 신한카드,LG전자 가전제품 알뜰하게 구매하자!
카드_307,위메프페이 신한카드,전월실적 조건 없이 어디서든 적립되는 온라인 쇼핑
카드_308,네이버페이 신한카드,"전월실적, 적립한도 없는 네이버페이 포인트적립혜택을 누려보세요"
카드_309,다이소 신한카드,"다이소 30%, 생활 10%, 영화 20% 할인"
카드_310,메가쇼핑 신한카드,메가마트 포인트 1.5% 적립(점외 이용 시 0.5% 적립)
카드_311,SRT GS칼텍스 신한카드 Shine,레일리지 쌓고 SRT 이용시 혜택 받으세요!
카드_312,제주항공 Refresh Point 신한카드,"차곡차곡 항공 포인트 쌓고, 내맘대로 쉽게 꺼내 쓰자!"
카드_313,신한카드 Deep Oil(KCC오토그룹),속 깊은 주유혜택
카드_314,울산현대축구단 신한카드 2030,멋을 아는 남성의 선택!
카드_315,에스원 안심 신한카드,안심에 할인을 더하다!
카드_316,LF SQUARE 신한카드,LF SQUARE 매장 할인카드
카드_317,LG U+ Bora 신한카드 Big Plus,"LG U+ 통신요금(전화, 인터넷, TV 등) 할인"
카드_318,LG BEST 모바일 Gold 신한카드,"Gold할부 이용하고, 통신요금 할인 받으세요"
카드_319,LG U+ 사장님 통할인 신한카드,월 최대 4만 2천원 통신요금 할인
카드_320,LG U+ 스마트플랜 Plus 신한카드,U+ 통신요금에 할인을 Plus!
카드_321,KT Super할부 Plus 신한카드,KT 통신요금에 할인을 Plus!
카드_322,SKT T라이트 신한카드,라이트할부로 통신요금도 라이트하게!
카드_323,홈플러스 스페셜 신한카드,이제 홈플러스에서 최대 7% 적립 받으세요!
카드_324,탑마트 보너스포인트 Plus 신한카드,탑보너스포인트 최대 2.5% 적립(점외 이용 시 0.5% 적립)
카드_325,탑마트 보너스포인트 신한카드,탑보너스포인트 최대 2.0% 적립(점외 이용 시 0.5% 적립)
카드_326,LG BEST SHOP 486 신한카드,LG베스트샵 장기할부카드로 가전제품 알뜰하게 구입하세요!
카드_327,카카오페이 신한 라이언 체크,귀여운 라이언 대박 예감
카드_328,카카오페이 신한 춘식이 체크,귀여운 춘식이 대박 예감
카드_329,신한카드 Pick E 체크 캐릭터형(루피),너! 내 동료가 돼라!
카드_330,신한카드 Pick I 체크 캐릭터형(쵸파),이 세상에 고칠 수 없는 병은 없으니깐!
카드_331,신한카드 Pick I 체크 캐릭터형(맹구),맹구가 카드 안에 들어왔다!
카드_332,신한카드 Pick E 체크 캐릭터형(오수),오수가 카드 안에 들어왔다!
카드_333,신한카드 Pick E 체크(깨댕이),오밀조밀 깨댕이가 카드에 들어왔다!
카드_334,신한카드 Pick I 체크(눙눙이),안녕 내이름은 눙눙이야
카드_335,신한카드 Pick E 체크(포켓몬스터),너만의 포켓몬을 Pick 해!
카드_336,신한카드 Pick I 체크(포켓몬스터),너만의 포켓몬을 Pick 해!
카드_337,신한카드 Global+ 체크(월리를 찾아라),여행 갈때도 월리를 찾아라!
카드_338,신한카드 Way 체크(미니언즈 여름),미니언즈가 시원하게 적립해드립니다!
카드_339,신한카드 봄 체크(도구리),도토리들을 위해 준비했어
카드_340,신한카드 Pick E 체크,E들은 이 카드를 픽하지!
카드_341,신한카드 Pick I 체크,혜택도 내성적일 거란 편견은 버려~
카드_342,신한카드 Way 체크(최고심),카드에 박힌 나.. 쫌 귀여울수도?
카드_343,요기패스 신한카드 체크,끝이 없는 할인 구독 서비스
카드_344,신한카드 FANtastic S 체크(LoL),국내/해외 판타스틱한 혜택에 신한플레이 캐시백까지!
카드_345,신한카드 FANtastic S 체크(DRX),카드는 원래 꺾이지 않는 거 알지?
카드_346,LG트윈스 신한카드 체크,무적 LG! 끝까지 TWINS! 직관 할인과 실생활 혜택까지
카드_347,신한카드 On 체크(잔망루피),내 얼굴이 담긴 카드를 가지고 싶지 않니?
카드_348,GS Prime 신한카드 체크,전 가맹점에서 적립되는 GS&POINT!
카드_349,신한카드 봄(체크),Color your Spring
카드_350,신한카드 플리(체크),전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_351,신한카드 플리 체크(산리오캐릭터즈),전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_352,신한카드 On 체크,간편결제와 생활편의 영역까지!
카드_353,신한카드 On 체크(쥬라기),간편결제와 생활편의 영역까지!
카드_354,신한카드 Way 체크,대중교통과 생활편의 영역까지!
카드_355,신한카드 Way 체크(쥬라기),대중교통과 생활편의 영역까지!
카드_356,땡겨요 신한카드 체크,너도 살고 나도 사는 우리동네 배달앱 땡겨요
카드_357,땡겨요 신한카드 체크(라이더형),너도 살고 나도 사는 우리동네 배달앱 땡겨요
카드_358,투썸플레이스 신한카드 체크,"20% 캐시백, 사이즈업 쿠폰에 OTT 캐시백 혜택까지!"
카드_359,아모레퍼시픽 신한카드 체크,체크카드도 뷰티포인트 적립 혜택을!
카드_360,신한카드 Finnq 체크,핀크머니 0.2% 적립(월 최대1만원)
카드_361,카카오페이 신한 콘 체크카드,전월실적 조건없이 사용횟수별 최대 2만원 적립
카드_362,L.PAY 신한카드 체크,간편 결제의 새로운 기준 L.PAY!
카드_363,개인택시운송사업자 신한카드 체크,유가보조금 지원과 포인트 적립 혜택까지!
카드_364,신한카드 국민행복 체크,정부에서 지원하는 국가바우처를 한장의 카드로 이용하세요!
카드_365,신한플러스 멤버십 체크,"쓸수록 쌓이는 포인트, 신한 플러스 멤버십 체크카드로 더 많은 혜택을!"
카드_366,신한카드 Hey Young 체크,카드 덕후가 연구 했어요. 버릴 혜택이 없는 체크카드!
카드_367,Plan YES 신한카드 Global+ 체크,Global+ 서비스에 신한투자증권 우대서비스까지~!
카드_368,신한카드 Global Air 스카이패스 체크,대한항공 마일리지 적립 체크카드
카드_369,신한카드 Global Air 아시아나 체크,아시아나항공 마일리지 적립 체크카드
카드_370,신한카드 Global + 체크,해외 특화 카드
카드_371,신한카드 미래설계 4Tune 체크,"어디서나 0.2% 적립, 선택한 곳에서 5배 적립!"
카드_372,신한카드 4Tune 체크,"어디서나 0.2% 적립, 선택한 곳에서 5배 적립!"
카드_373,신한카드 TEENS(틴즈) PLUS PONEY 체크,부모와 자녀를 위한 스마트한 용돈관리 시작
카드_374,신한카드 하이패스(전용) 체크,고속도로요금 결제를 편리하게!
카드_375,신한카드 FANtastic S 체크,국내/해외 판타스틱한 혜택에 신한플레이 캐시백까지!
카드_376,신한카드 Deep Dream 체크,속 깊은 디지털 라이프!
카드_377,신한카드 주거래 체크,나의 금융파트너! 신한 주거래 패키지로 더 많은 혜택을!
카드_378,신한카드 하이패스(전용) 체크(SIM형),고속도로요금 결제를 편리하게!
카드_379,신한카드 Deep Dream 체크(미니언즈),미니언즈가 다 드림!
카드_380,신한카드 S-Line 체크(미니언즈),할인+적립+신한금융 서비스까지 한 번에!
카드_381,카카오페이 신한 체크카드,카카오페이로 간편하게 결제하고 혜택까지 플러스
카드_382,신한카드 S-Line 체크(마이펫),할인+적립+신한금융 서비스까지 한 번에!
카드_383,신한카드 S-Line 체크,할인+적립+신한금융 서비스까지 한 번에!
카드_384,신한카드 S-Choice(선택형) 체크,"복잡한 혜택의 서비스는 그만! 대중교통,커피,쇼핑 중 내가 원하는 하나의 서비스에 ALL-in"
카드_385,신한카드 S-Line 체크(배민커넥트),할인+적립+신한금융 서비스까지 한 번에!
카드_386,마이 홈플러스 신한카드 체크,홈플러스 포인트 0.6%적립(점외 이용시 0.1%적립)
카드_387,신한카드 아이행복 체크,"보육비는 물론, 부모님에게 힘이 되는 혜택까지"
카드_388,신세계 신한카드 체크,신세계백화점의 혜택을 다 모은 맞춤형 체크카드
카드_389,더본 신한카드 체크,스마트한 가격! 맛잇는 더본 브랜드는 신한카드와 함께!
카드_390,신한카드 EV 체크,전기차 LIFE를 누려보세요. 전기차 충전요금 30% 할인!
카드_391,11번가 신한카드 체크,"쉽고 편한 모바일 쇼핑, 세상 편한 11PAY 결제!"
카드_392,한국야쿠르트 팝 신한카드 체크,한국야쿠르트와 GS리테일의 특별한 혜택!
카드_393,위메프페이 신한카드 체크,전월실적 조건 없이 어디서든 적립되는 온라인 쇼핑
카드_394,SOCAR 제휴 SOCAR 신한카드 체크,SOCAR 결제시 10% 할인
카드_395,신한투자증권 CMA R+ 신한카드 Love 체크,Love 서비스와 전월 실적에 따른 CMA계좌 추가 금리 제공
카드_396,GS칼텍스 신한카드 경차사랑 체크,주유 추가할인 혜택을 더한 경차만의 특권
카드_397,요기요 신한카드 체크,요기요 구매금액 15% 할인 커피/편의점 할인까지
카드_398,네이버페이 신한카드 체크,이제 오프라인에서도 네이버페이로~
카드_399,몰테일 신한카드 체크,해외 직구는 물론 모든 해외 쇼핑을 위한 똑똑한 카드!
카드_400,KBO 제휴 신한카드 MY KBO 체크,전가맹점 최대 0.2% 적립 및 전구단 야구할인
카드_401,CJ ONE 신한카드 체크,CJ ONE 멤버십 기능에 신한 체크카드만의 특별한 혜택까지!
카드_402,다이소 신한카드 체크,"다이소 20%, 생활 10%, 영화 20% 캐시백"
카드_403,쿠팡 신한카드 체크,쿠팡 이용금액 3% 적립에 스타벅스 이용금액 캐시백까지!
카드_404,리디 신한카드 체크,전자책 서점 리디북스 10% 캐시백
카드_405,성남시 아동수당 신한카드 Deep Dream 체크,속 깊은 디지털 라이프!
카드_406,청년동행 신한카드 Deep Dream 체크,속 깊은 디지털 라이프!
카드_407,성남사랑 신한카드 Deep Dream 체크,꿈을 키우는 카드!
카드_408,신한카드 Change-Up 체크,"해외에서는 달러(USD)로, 국내에서는 원화로 Change!"
카드_409,신한카드 JYP Fan’s EDM 체크,난치병 아이들의 꿈을 이뤄주는 기부카드
카드_410,청년취업 FANtastic S 신한카드 체크,국내/해외 판타스틱한 혜택에 FAN페이 캐시백까지!
카드_411,SOL Deep Dream 신한카드 체크,속 깊은 디지털 라이프!
카드_412,KT 신한카드 체크,"KT 통신요금 5천원, GS25 5%, CGV 10% 캐시백"
카드_413,화물운전자복지 신한카드 체크,화물운전자복지 체크카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_414,장애인 통합복지 신한카드 2030 체크,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_415,장애인 통합복지 신한카드 Lady 체크,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_416,S.Sing 씽화물복지 신한카드 체크,S.Sing 씽 화물복지 체크카드로 빠르고 편리하게 유가보조금 지원 받으세요!
카드_417,알뜰주유소 화물운전자복지 신한카드 체크,알뜰주유소 화물복지 체크카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_418,알뜰교통 신한카드 S20 체크,가볍고 편해지는 발걸음~ 대중교통 요금 10% 할인
카드_419,메가쇼핑 신한카드 체크,메가마트 포인트 0.7% 적립(점외 이용 시 0.1% 적립)
카드_420,스포츠바우처 카카오페이 신한 체크카드(무지),스포츠 강좌 이용을 위한 지원금 카드
카드_421,공무원연금복지 신한카드 S-Choice (선택형) 체크,
카드_422,신한카드 TEENS(틴즈) PLUS PONEY 체크 후불교통,청소년도 후불교통으로 대중교통을 스마트하고 편리하게 이용하세요!
카드_423,나주사랑 신한카드 S-Choice(선택형) 체크,"대중교통, 커피, 쇼핑 중 내가 원하는 하나의 서비스에 ALL-in"
카드_424,성남사랑 신한카드 Deep Dream 체크(chak),성남시민을 위한 성남사랑상품권 연동 카드
카드_425,탑마트 보너스포인트 신한카드 체크,탑보너스포인트 최대 1.2% 적립(점외 이용 시 0.1% 적립)
카드_426,대덕e로움 신한카드 S-Choice 체크,"복잡한 혜택의 서비스는 그만! 대중교통, 커피, 쇼핑 중 내가 원하는 하나의 서비스에 All-in!"
카드_427,부산가족사랑 신한카드 S-Choice 체크,부산시의 다자녀가정 지원 가족사랑 체크카드
카드_428,신한카드 On 체크(한국유치원총연합회 교원증),교원증과 On 체크의 만남
카드_429,삼성증권 CMA 신한카드 Big Plus 체크,삼성증권을 이용하시는 고객님의 혜택!!
카드_430,신한카드 Hey Young 체크(청소년연맹 대학생 교사),ID카드와 Hey-Young 체크를 한 장에
카드_431,신한카드 Hey Young 체크(청소년연맹 임직원),ID카드와 Hey-Young 체크를 한 장에
카드_432,롯데마트&MAXX 카드,롯데마트&MAXX 최대 10% 할인
카드_433,디지로카 London,결제 방식도 내 취향에 맞게 나를 위한 스마트 라이프
카드_434,디지로카 Paris,카드 하나로 누리는 디지털 쇼핑 라이프
카드_435,LOCA LIKIT 1.2,모든 가맹점 1.2% 할인
카드_436,LOCA in MEGACITY,부산/울산/경남 지역 특화 할인
카드_437,LOCA LIKIT Eat,"음식점, 배달앱, 커피 60% 할인"
카드_438,롤라카드,롯데계열사 7% 롤라머니 적립 카드
카드_439,LOCA LIKIT Play,"주유, 영화, 스트리밍 60% 할인"
카드_440,LOCA for Shopping,온·오프라인 쇼핑 10% 풍성한 할인
카드_441,Trip to 로카,국내외 가맹점 1.2%~2.0% 결제일 할인
카드_442,카카오뱅크 롯데카드,실적 조건없이 온·오프라인 전 가맹점 캐시백
카드_443,케이뱅크 롯데카드,"모든 가맹점 최대 1%, 라이프 가맹점 최대 50% 캐시백"
카드_444,Trip to 로카,국내외 가맹점 1.2%~2.0% 결제일 할인
카드_445,Kakaopage 롯데카드,카카오페이지 이용 시 5% 캐시백
카드_446,LOTTE ONers 롯데카드,L.POINT 적립 0.5%~3% 적립
카드_447,LOCA X 웰릭스렌탈,웰릭스 렌탈 이용 시 결제일 할인 또는 캐시백!
카드_448,L.pay 롯데카드 Ⅱ,지난달 실적 30만원 이상 시 1.0% ~ 1.5% 적립율
카드_449,교보문고 플래티넘 롯데카드,월 최대 30만 교보문고 통합포인트 적립
카드_450,롯데체크카드,롯데체크카드
카드_451,롯데포인트 플러스 체크카드,롯데포인트 플러스 체크카드
카드_452,I♥Busan 체크카드,아이러브부산
카드_453,롯데 비즈니스 체크 카드,사업자를 위한 할인 카드
카드_454,SUPER PLUS 체크카드,롯데슈퍼에서 최고 10% 캐쉬백
카드_455,롯데체크카드VISA,롯데체크카드VISA
카드_456,롯데 체크플러스 카드,계좌 잔고가 부족해도 30만원의 신용한도 제공
카드_457,위클리 체크카드,평일 이용실적이 높을수록 커지는 주말 캐시백 혜택
카드_458,위클리 VISA 롯데체크카드,평일 이용실적이 높을수록 커지는 주말 캐시백 혜택
카드_459,세븐일레븐 멤버십롯데체크카드,세븐일레븐 할인 서비스
카드_460,쉐보레오토 체크카드,계획적인 내 차 마련의 베스트 솔루션
카드_461,SKYPASS롯데 플래티넘 체크카드,SKYPASS롯데 플래티넘 체크카드
카드_462,SK롯데 체크카드,SK주유소에서 리터당 40원 할인
카드_463,해병대 전우 롯데 포인트플러스 체크카드,한번 해병은 영원한 해병
카드_464,해병대 전우 롯데체크플러스 카드,한번 해병은 영원한 해병!
카드_465,뉴롯데시네마 롯데체크카드,월 최대 5천원 영화관람권 할인!
카드_466,쇼퍼홀릭 롯데홈쇼핑 롯데체크카드,롯데홈쇼핑 쇼퍼홀릭 마니아들을 위한 쇼핑의 필수 아이템! 포인트적립과 할인쿠폰이 동시에!
카드_467,AIA생명 롯데 리얼체크카드,AIA생명 보험료 결제시 월 3천원~5천원 할인!
카드_468,인피니트 카드,인피니트 카드
카드_469,다이아몬드 카드 SKYPASS형,리더만의 자부심
카드_470,다이아몬드 카드 아시아나클럽형,리더만의 자부심
카드_471,다이아몬드 카드 L.POINT형,리더만의 자부심
카드_472,다이아몬드 카드 플라이어마일형,리더만의 자부심
카드_473,L.CLASS L60 (스카이패스형),"스카이패스 마일리지 적립, 스페셜기프트 제공"
카드_474,L.CLASS L60 (아시아나클럽형),"아시아나클럽 마일리지 적립, 스페셜기프트 제공"
카드_475,L.CLASS L60 (L.POINT형),"1% L.POINT 적립, 스페셜기프트 제공"
카드_476,L.CLASS L20 (스카이패스형),"스카이패스 마일리지 적립, 스페셜기프트 제공"
카드_477,L.CLASS L20 (아시아나클럽형),"아시아나클럽 마일리지 적립, 스페셜기프트 제공"
카드_478,L.CLASS L20 (L.POINT형),"1.5~3% L.POINT 적립, 스페셜기프트 제공"
카드_479,플래티넘 위버스카이 SKYPASS 카드,프리미엄의 정상을 향한 또 하나의 특권
카드_480,플래티넘 위버스카이 아시아나클럽 카드,프리미엄의 정상을 향한 또 하나의 특권
카드_481,플래티넘 위버스카이 카드,프리미엄의 정상을 향한 또 하나의 특권
카드_482,SKYPASS 롯데 플래티넘 카드,SKYPASS 롯데 플래티넘 카드
카드_483,아시아나클럽 롯데 플래티넘 카드,아시아나클럽 롯데 플래티넘 카드
카드_484,롯데 플래티넘 카드,롯데 플래티넘 카드
카드_485,[BNK경남] 어디로든 그린카드,전기차/수소차 충전 최대 40% 에코머니 포인트 적립
카드_486,[IBK기업은행] I-어디로든그린카드,I-어디로든 그린카드로 에코머니 포인트 적립하세요
카드_487,[BC바로] GOAT BC바로카드,페이북 머니 국내 최대 1.5% 매일 적립
카드_488,[BC바로] 어디로든 그린카드,친환경 자동차 충전 최대 40% 적립
카드_489,[BC바로] 에어 플러스 아시아나,1천원당 1.3 아시아나클럽 마일리지
카드_490,[BC바로] kt DC PLUS 카드,"kt 통신요금 월 최대 13,000원 할인"
카드_491,[BC바로] On＆Off 카드,온라인/간편결제/음식점/커피 10% 할인
카드_492,[BNK경남] AIR Mile(대한항공) 카드,"실적조건NO, 적립한도제한NO! 대한항공 마일리지 적립!"
카드_493,[BC바로] BC 후불하이패스카드_SIM타입,고속도로 통행료 결제
카드_494,[BC바로] BC 후불하이패스카드_카드형,고속도로 통행료 결제
카드_495,[IBK기업은행] I-알뜰교통플러스,대중교통 할인
카드_496,[BC바로] 알뜰 교통 플러스,대중교통 15% 결제일 할인
카드_497,[IBK기업은행] I-Pet,동물병원 / 반려동물업종 할인
카드_498,[IBK기업은행] K22 Point,TOP포인트 1~2% 적립
카드_499,[IBK기업은행] K22 Mileage SKYPASS,대한항공(Skypass) 마일리지 적립
카드_500,[BNK경남] SK OIL＆LPG카드,SK주유소/충전소 최대120원 할인
카드_501,[BC바로] 신세계 푸빌라,국내 가맹점 0.7% 할인
카드_502,[BC바로] 에어 플러스 스카이패스,1천원당 1 스카이패스 마일리지
카드_503,[BNK경남] The Art Card(할인형),"주유, 백화점, 대형할인점, 학원 업종 할인"
카드_504,[BNK경남] The Art Card(캐시백형),국내 가맹점이용금액의 0.5% 캐시백
카드_505,[BNK경남] The Gallery Card,"할인점, 백화점, 병원, 약국, 학원업종 할인"
카드_506,[BC바로] 컬리카드,컬리 5% 적립
카드_507,[BNK부산] OIL&LPG카드_부산,"SK주유소/충전소 할인 서비스, 생활 할인 서비스"
카드_508,[IBK기업은행]I-ALL,국내외 가맹점 0.5% 할인
카드_509,[DGB대구] DGB i카드,즐겨 쓰는 5개 영역 할인 혜택
카드_510,[BC바로] kt SUPER+ 카드,"kt 통신요금 월 최대 25,000원 할인"
카드_511,[BC바로] kt SUPER 카드,"kt 통신요금 월 최대 18,000원 할인"
카드_512,[BC바로] 신세계 콰트로 플러스,신세계백화점 5% 할인
카드_513,[BC바로] 신세계 SEVEN FLEX,신세계백화점 7% 할인
카드_514,[BC바로] 신세계 클리어 플러스,신세계백화점 7% 할인
카드_515,[BC바로] 신세계 아시아나 플러스,신세계백화점 1천원당 1.4마일 적립
카드_516,[BC바로] 신세계 리워드 플러스,신세계백화점 5% 적립
카드_517,[BC바로] 리워드 플러스,"쇼핑, 엔터테인먼트, 골프, 생활 5%~30% 특별적립"
카드_518,[BC바로] 페이백 플러스,전 가맹점 0.7% 기본 할인 및 특별 카테고리 6.3% 추가 할인
카드_519,[BC바로] 클리어 플러스,"점심 식사, 배달앱, 대중교통 7% 할인"
카드_520,[BC바로] 로스트아크 카드,로스트아크 로열 크리스탈 충전 시 10% 할인
카드_521,[BC바로] 쇼핑& 카드,"쿠팡, G마켓, 옥션 7% 할인"
카드_522,[BC바로] 始發(시발)카드,"주요 始發(시발)비용 사용처 매출금액별 180/1,800원 차등 청구할인"
카드_523,[DGB대구] UntacT카드,언택트 전용 할인 혜택
카드_524,[BC바로] 케이뱅크 SIMPLE 카드,실적조건/할인한도 없이 최대 1.5% 할인
카드_525,[BC바로] 그린카드,국내 가맹점 0.8% 에코머니 적립
카드_526,[IBK기업은행] 무민신용카드,커피전문점 20%할인
카드_527,[BNK경남] ANY카드,
카드_528,[IBK기업은행] 데일리위드,6대 생활영역 이용금액 1% 기본캐시백
카드_529,[NH농협] Air Money 카드,"국내 0.8%, 해외 1.6% Air Money적립"
카드_530,[SC제일] 리워드W 신용카드,국내외 가맹점 결제 시 360리워드포인트 적립
카드_531,[NH농협] LCC UniMile 카드,유니마일(UniMile)적립 및 수하물 서비스
카드_532,[하나] 토스신용카드,해외 모든 가맹점 2% 토스 포인트 적립
카드_533,[하나] 토스신용카드,해외 모든 가맹점 2% 토스 포인트 적립
카드_534,[BNK경남] 요즘쇼핑카드,온라인/오프라인 쇼핑 5% 청구할인
카드_535,[NH농협] 적립조아카드,국내/해외 이용시 0.5~1.5% TOP 포인트 적립
카드_536,[NH농협] 쇼핑조아카드,페이 결제 시 5% 할인
카드_537,[NH농협] 할인조아카드,전 주유소(LPG포함) 리터당 60원 청구할인
카드_538,[SC제일] 뉴 타임 카드,"편의점,제과/음식점,커피/배달앱 5% 할인"
카드_539,[하나] 카카오T 하나카드,"카카오 T 건당 2,000원 할인"
카드_540,[IBK기업은행] 코웨이IBK카드,코웨이 렌탈료 자동이체 할인 서비스
카드_541,[NH농협] NH농협 엘포인트 카드(신용),주요 롯데쇼핑 계열 L.POINT 3% 적립
카드_542,[IBK기업은행] Shopping & Joy (쇼핑앤조이),온라인쇼핑 5천원 청구할인
카드_543,[NH농협] KT 수퍼할부카드,KT라이트할부 및 통신요금 할인 서비스
카드_544,[DGB대구] 세븐캐쉬백카드,국내 및 해외 가맹점 7% 할인
카드_545,[SC제일] 플러스마일 카드,대한항공/아시아나 마일리지 적립
카드_546,[BNK부산] BNK프렌즈카드(신용),국내 가맹점 최대 0.6% 할인
카드_547,[BNK경남] BNK프렌즈 신용카드,국내 가맹점 이용금액 0.3~0.6% 할인
카드_548,[IBK기업은행] 아모레퍼시픽 IBK카드,아모레퍼시픽 10% 청구할인
카드_549,[NH농협] 부자되세요 아파트카드,아파트 관리비 최대 1만원 할인
카드_550,[IBK기업은행] IBK 하이브리드(Hybrid)카드,하이브리드 서비스(체크+신용 결제서비스)
카드_551,[BNK부산] 부자되세요 아파트카드,아파트 관리비 10% 할인
